CustomerId,primary_persona,existing_secondary_persona,frequent_charger_count,charger_ids,dominant_primary_mode,primary_mode_diversity,dominant_secondary_mode,secondary_mode_diversity,dominant_category,category_diversity,avg_charger_popularity,total_landmarks,total_sessions,avg_session_duration,avg_energy_consumption,weekend_ratio,peak_hour,loyalty_score,zone_diversity,primary_zone
hFlmSNXGiI,regular,residential,1,['wbac0278'],regular,1,residential,1,residential,1.0,39.0,1.0,6,3.814722222222222,35.49033333333333,0.3333333333333333,12.0,1.0,1,North
hFsOuNsSAl,regular,other,2,"['delac0416', 'scdc0020']",regular,2,residential,2,residential,2.0,109.5,2.0,2,0.8293055555555555,30.400499999999997,0.0,15.0,0.5,1,West
hGDwIiTxgm,regular,other,1,['wbac0122'],regular,1,other,1,other,1.0,74.0,1.0,8,3.2449652777777778,30.987625,0.0,8.0,1.0,1,Central
hGazlqXUSK,regular,residential,1,['SCAC0312'],regular,1,residential,1,residential,1.0,65.0,1.0,1,0.4911111111111111,3.36,0.0,21.0,1.0,1,North
hGyJwoqrDX,regular,residential,1,['delac0246'],regular,1,residential,1,residential,1.0,44.0,1.0,18,5.475972222222222,36.549499999999995,0.16666666666666666,11.0,0.8333333333333335,2,West
hHKBKIDafm,regular,residential,1,['delac0140'],regular,1,residential,1,residential,1.0,37.0,1.0,12,4.720648148148149,16.368333333333332,0.25,16.0,1.0,1,Central
hHOdrHSscj,regular,other,1,['scdc0024'],regular,1,other,1,other,1.0,73.0,1.0,1,0.5958333333333333,37.12,1.0,20.0,1.0,1,West
hHuWUfzGTF,regular,residential,1,['delac0134'],regular,1,residential,1,residential,1.0,63.0,1.0,6,7.0370833333333325,33.58166666666667,0.0,15.0,1.0,1,Central
hIAKjEeGsq,regular,residential,1,['delac0389'],noise,1,residential,1,residential,1.0,44.0,1.0,1,0.6544444444444445,4.803,0.0,14.0,1.0,1,North
hIKyxKkNUw,regular,other,2,"['SCAC0920', 'DelDC0011']",regular,1,residential,2,residential,2.0,76.5,2.0,37,2.219114114114114,17.302999999999997,0.43243243243243246,19.0,0.4864864864864867,2,West
hINPpqzoOW,regular,residential,1,['scac0039'],regular,1,residential,1,residential,1.0,35.0,1.0,9,1.127993827160494,6.843333333333334,0.7777777777777778,11.0,0.8888888888888888,1,North
hIQrIbhVfv,regular,residential,1,['scac0024'],regular,1,residential,1,residential,1.0,23.0,1.0,28,6.627777777777778,43.868214285714274,0.21428571428571427,18.0,0.9285714285714283,2,West
hIWKGMKCPy,regular,residential,1,['delac0139'],regular,1,residential,1,residential,1.0,48.0,1.0,5,5.061611111111111,24.400000000000002,0.2,20.0,1.0,1,Central
hJMXBdTwvA,regular,residential,1,['delac0324'],regular,1,residential,1,residential,1.0,23.0,1.0,2,8.103194444444446,33.959,0.0,11.0,1.0,1,North
hJOvCfZQUe,regular,residential,1,['scac0064'],regular,1,residential,1,residential,1.0,22.0,1.0,1,1.0483333333333331,6.58,1.0,8.0,1.0,1,West
hJeXGpItSW,regular,residential,1,['wbac0216'],regular,1,residential,1,residential,1.0,45.0,1.0,60,4.304819444444445,21.07558333333333,0.2833333333333333,2.0,0.8833333333333331,3,North
hJeancople,regular,residential,1,['scac0113'],regular,1,residential,1,residential,1.0,16.0,1.0,17,4.0849183006535945,40.76829411764705,0.6470588235294118,7.0,0.4117647058823529,1,North
hKBwyOOVop,regular,residential,4,"['DelDC0002', 'wbac0093', 'delac0126', 'delac0127']",regular,1,residential,3,residential,3.0,71.25,4.0,4,3.7845138888888887,37.55825,0.5,15.0,0.5,3,West
hKJkrqlLDQ,regular,other,3,"['scac0119', 'wbac0026', 'wbac0079']",regular,1,residential,2,residential,3.0,92.66666666666667,3.0,11,1.3392676767676768,7.5378181818181815,0.36363636363636365,12.0,0.18181818181818182,3,West
hKUZnyjApR,regular,other,1,['scdc0007'],noise,1,other,1,other,1.0,504.0,1.0,9,0.730679012345679,39.83877777777778,0.2222222222222222,8.0,0.8888888888888888,1,Central
hKcyppkcRl,regular,residential,2,"['SCAC0382', 'SCAC0270']",regular,1,residential,1,residential,1.0,35.5,2.0,2,2.2934722222222224,16.305,0.5,12.0,1.0,1,North
hKjFWJZzGv,regular,residential,1,['wbac0211'],regular,1,residential,1,residential,1.0,35.0,1.0,1,0.9122222222222224,5.542,1.0,15.0,1.0,1,West
hKsyinAOOw,regular,residential,2,"['delac0210', 'delac0211']",regular,1,residential,1,residential,1.0,52.5,2.0,12,5.245671296296297,29.658749999999998,0.3333333333333333,18.0,0.8333333333333335,2,Central
hKvjasBAYS,regular,residential,3,"['delac0066', 'delac0068', 'delac0067']",regular,1,residential,1,residential,1.0,61.333333333333336,3.0,3,10.204814814814815,45.94233333333333,0.3333333333333333,18.0,1.0,1,Central
hLUxJZjkOq,regular,,1,['DelAC0145'],regular,1,residential,1,,,10.0,,20,7.810597222222222,47.13574999999999,0.3,20.0,1.0,1,Central
hLiXNyrUuO,regular,shopping_mall,1,['scac0076'],regular,1,shopping_mall,1,shopping_mall,1.0,32.0,1.0,1,2.9691666666666667,20.7,1.0,19.0,1.0,1,North
